FTA/G,MPG,FT%,PPG,GP,FGM/G,3FGA/G,3FG%,HIGH,PPS,3FGM/G,FTM/G,FG%,PTS/48,GS,fullname,PTS,FGA/G
9.8,34.4,.835,28.1,67,9.4,4.3,.299,54,1.28,1.3,8.1,.426,39.3,67,"Westbrook, Russell",1886,22.0
10.2,36.8,.868,27.4,81,8.0,6.9,.375,51,1.51,2.6,8.8,.440,35.7,81,"Harden, James",2217,18.1
7.7,36.1,.710,25.3,69,9.0,4.9,.354,42,1.36,1.7,5.4,.488,33.6,69,"James, LeBron",1743,18.5
6.8,36.1,.805,24.4,68,9.4,0.2,.083,43,1.38,0.0,5.5,.535,32.4,68,"Davis, Anthony",1656,17.6
9.2,34.1,.782,24.1,59,8.4,0.1,.250,39,1.33,0.0,7.2,.467,33.9,59,"Cousins, DeMarcus",1421,18.1
4.2,32.7,.914,23.8,80,8.2,8.1,.443,51,1.42,3.6,3.9,.487,34.9,80,"Curry, Stephen",1900,16.8
5.1,35.4,.845,23.4,71,9.3,1.5,.352,39,1.17,0.5,4.3,.466,31.7,71,"Aldridge, LaMarcus",1661,19.9
6.4,35.2,.728,21.9,67,8.6,0.4,.400,45,1.28,0.1,4.6,.502,29.9,67,"Griffin, Blake",1469,17.1
4.9,36.4,.863,21.7,75,7.7,5.0,.415,57,1.32,2.1,4.2,.468,28.6,75,"Irving, Kyrie",1628,16.5
3.3,31.9,.879,21.7,77,7.8,7.1,.439,52,1.28,3.1,2.9,.463,32.6,77,"Thompson, Klay",1668,16.9
6.0,31.8,.768,21.5,62,8.2,1.6,.284,42,1.23,0.5,4.6,.470,32.4,62,"Wade, Dwyane",1331,17.5
5.8,35.4,.858,21.1,68,7.5,3.2,.359,40,1.28,1.2,5.0,.455,28.5,67,"Gay, Rudy",1432,16.4
4.9,35.7,.864,21.0,82,7.2,7.0,.343,43,1.26,2.4,4.2,.434,28.2,82,"Lillard, Damian",1720,16.6
7.2,35.0,.832,20.1,60,6.8,1.5,.284,42,1.22,0.4,6.0,.413,27.5,60,"DeRozan, DeMar",1204,16.5
7.1,38.7,.834,20.0,65,6.5,3.0,.378,35,1.43,1.1,5.9,.462,24.8,65,"Butler, Jimmy",1301,14.0
6.1,34.4,.812,19.3,76,6.4,4.3,.364,33,1.35,1.6,4.9,.445,26.8,76,"Hayward, Gordon",1463,14.3
2.9,34.2,.752,19.3,74,8.5,0.1,.333,37,1.18,0.0,2.2,.523,27.1,74,"Vucevic, Nikola",1428,16.3
3.9,34.8,.900,19.1,82,6.9,4.3,.398,41,1.34,1.7,3.5,.485,26.3,82,"Paul, Chris",1564,14.3
3.8,33.7,.752,18.9,80,7.5,3.6,.285,38,1.12,1.0,2.9,.445,26.9,80,"Ellis, Monta",1513,16.9
4.7,34.4,.803,18.5,78,7.3,0.3,.462,46,1.25,0.2,3.8,.494,25.9,78,"Gasol, Pau",1446,14.8
4.4,35.7,.819,17.9,72,6.6,3.4,.339,38,1.19,1.2,3.6,.436,24.1,71,"Oladipo, Victor",1292,15.1
4.5,34.5,.808,17.8,70,6.1,5.6,.338,39,1.19,1.9,3.6,.412,24.7,70,"Lowry, Kyle",1244,14.9
4.6,35.9,.785,17.6,79,6.6,2.7,.300,34,1.19,0.8,3.6,.445,23.5,79,"Wall, John",1387,14.8
5.4,33.2,.795,17.4,81,6.5,0.2,.176,33,1.32,0.0,4.3,.494,25.2,81,"Gasol, Marc",1413,13.2
3.8,29.6,.882,17.3,77,6.3,3.6,.380,30,1.26,1.4,3.3,.459,28.0,77,"Nowitzki, Dirk",1333,13.8
4.6,34.2,.827,17.3,62,6.1,4.5,.304,42,1.10,1.4,3.8,.385,24.4,58,"Walker, Kemba",1075,15.8
3.8,29.2,.814,17.2,72,7.0,0.1,.100,35,1.25,0.0,3.1,.513,28.3,44,"Lopez, Brook",1236,13.7
3.6,34.8,.788,17.1,68,6.5,3.5,.364,34,1.23,1.3,2.8,.466,23.6,63,"Harris, Tobias",1164,14.0
5.4,34.6,.800,17.0,81,5.8,3.4,.324,34,1.32,1.1,4.4,.447,23.6,81,"Bledsoe, Eric",1377,12.9
3.5,32.3,.874,17.0,63,6.0,5.1,.389,34,1.20,2.0,3.1,.422,25.2,61,"Knight, Brandon",1070,14.1
5.7,36.2,.760,16.9,82,6.1,1.5,.310,33,1.22,0.5,4.3,.437,22.4,82,"Wiggins, Andrew",1387,13.9
4.6,32.7,.757,16.7,73,6.1,3.0,.356,30,1.31,1.1,3.5,.476,24.5,73,"Millsap, Paul",1218,12.7
2.5,30.6,.655,16.6,65,7.5,0.1,.400,34,1.07,0.0,1.7,.481,26.1,61,"Jefferson, Al",1082,15.5
3.7,34.1,.694,16.6,79,6.6,2.9,.304,34,1.13,0.9,2.6,.447,23.4,76,"Evans, Tyreke",1313,14.7
3.9,31.8,.802,16.5,64,6.2,3.0,.349,26,1.29,1.0,3.2,.479,25.0,64,"Leonard, Kawhi",1057,12.8
2.6,30.9,.901,16.4,78,5.7,5.9,.437,30,1.36,2.6,2.3,.477,25.4,78,"Redick, J.J.",1277,12.0
4.3,33.8,.804,16.4,75,5.5,5.2,.367,32,1.29,1.9,3.4,.434,23.3,75,"Love, Kevin",1228,12.7
5.2,25.8,.868,16.4,67,5.0,5.2,.373,34,1.38,1.9,4.5,.421,30.6,1,"Thomas, Isaiah",1101,11.9
3.0,33.8,.774,16.3,78,6.4,3.3,.347,34,1.27,1.2,2.3,.501,23.2,78,"Dragic, Goran",1275,12.8
4.2,32.5,.765,16.1,71,6.4,0.3,.350,27,1.23,0.1,3.2,.487,23.8,71,"Randolph, Zach",1143,13.1
4.5,30.8,.669,16.0,74,6.5,0.1,.167,32,1.29,0.0,3.0,.525,25.0,74,"Favors, Derrick",1187,12.4
4.4,30.5,.862,15.9,73,5.6,2.8,.343,28,1.31,1.0,3.8,.460,25.0,72,"Teague, Jeff",1162,12.2
2.4,33.7,.752,15.9,60,5.6,7.4,.389,31,1.27,2.9,1.8,.448,22.7,60,"Matthews, Wesley",956,12.5
4.9,31.0,.750,15.9,69,6.1,0.0,-,29,1.29,0.0,3.7,.496,24.7,57,"Monroe, Greg",1098,12.4
3.9,26.6,.901,15.8,64,5.2,5.7,.327,26,1.20,1.9,3.5,.396,28.5,4,"Crawford, Jamal",1010,13.1
3.6,31.8,.859,15.8,70,5.6,4.0,.386,36,1.26,1.5,3.1,.446,23.9,70,"Conley, Mike",1107,12.6
2.9,33.1,.720,15.7,66,5.8,5.3,.380,32,1.25,2.0,2.1,.462,22.8,66,"Parsons, Chandler",1037,12.6
4.9,25.2,.861,15.5,80,4.7,5.6,.340,36,1.34,1.9,4.3,.404,29.6,0,"Williams, Lou",1242,11.6
3.1,28.5,.782,15.5,75,6.4,0.6,.356,30,1.25,0.2,2.4,.519,26.1,74,"Kanter, Enes",1163,12.4
2.8,31.5,.763,15.3,82,6.2,2.2,.318,35,1.14,0.7,2.2,.465,23.4,82,"Morris, Markieff",1258,13.4
2.6,33.4,.783,15.3,63,5.8,4.1,.409,33,1.13,1.7,2.1,.427,21.9,59,"Beal, Bradley",962,13.5
1.9,30.5,.759,15.2,76,6.8,0.5,.306,28,1.20,0.1,1.4,.538,23.9,76,"Horford, Al",1156,12.7
4.8,35.5,.730,15.2,75,5.4,2.7,.341,32,1.23,0.9,3.5,.436,20.6,75,"Lawson, Ty",1143,12.3
3.7,31.5,.833,15.0,78,5.3,3.7,.332,35,1.21,1.2,3.1,.430,22.8,70,"Green, Jeff",1168,12.4
